       x,        y,        z,    group
       2,       38,       28,        a
       0,       10,       44,        a
       4,       10,       36,        a
       2,       16,       34,        a
       2,       10,       16,        a
      -4,       10,       44,        a
      -4,        6,       28,        a
      12,        0,       20,        a
      -8,       50,       12,        a
      14,       48,       16,        a
       4,       12,       36,        a
       2,        8,       18,        a
       6,       16,        8,        a
       0,       22,       30,        a
       4,       16,       36,        a
      -8,       36,       12,        a
      -2,       10,       36,        a
       8,        4,       18,        a
      18,       44,        6,        a
       8,       28,       28,        a
      10,       38,       18,        a
      -6,       16,       32,        a
      -2,       12,       34,        a
       0,       10,       44,        a
      -2,       44,        2,        a
       4,        8,       44,        a
       2,        0,       44,        a
       0,       12,       18,        a
       4,       16,       38,        a
      -2,       34,        2,        a
       2,        4,       18,        b
       0,        4,       40,        b
       2,       -2,       44,        b
     -20,       26,       12,        b
      -8,       36,       -4,        b
      16,       42,        4,        b
     -16,       30,        6,        b
      -2,       22,       40,        b
       2,       12,       36,        b
       0,       18,       32,        b
     -18,       44,        0,        b
      -2,       28,       16,        b
       0,       28,       42,        b
     -14,       36,       -4,        b
       8,       12,       40,        b
       4,       42,       20,        b
      -2,       28,       -4,        b
       0,       18,       18,        b
       0,       14,       44,        b
      16,       48,       22,        b
       6,       -2,       40,        b
       2,       -2,       44,        b
       4,       18,       42,        b
      -6,        8,       40,        b
       2,        6,       42,        b
       6,       12,       38,        b
       0,       12,       34,        b
      -6,       32,       -2,        b
      -2,       48,       10,        b
