       x,        y,        z,    group
       4,       10,       34,        a
       4,       16,       44,        a
       4,        4,       18,        a
       4,       14,       38,        a
       0,       32,       -4,        a
       2,        2,       44,        a
      -4,       24,       10,        a
       0,       12,       40,        a
      -2,       32,       24,        a
       2,        6,       44,        a
       0,       14,       12,        a
       2,       14,       42,        a
     -16,       50,       14,        a
       0,       36,       -4,        a
       6,       40,       38,        a
       2,        4,       24,        a
       4,        6,       40,        a
       4,       48,       20,        a
      12,       -2,       26,        a
     -16,       36,       -4,        a
      -2,       12,       42,        a
     -12,       16,        6,        a
       4,       24,       10,        a
       0,       20,       38,        a
       2,       32,        8,        a
       4,       34,       38,        a
       0,        4,       38,        a
       0,       22,       44,        a
       6,       10,       16,        a
      -4,       18,       42,        a
      -2,       14,       16,        b
      14,       26,        2,        b
      22,        0,       38,        b
       0,       34,        2,        b
      18,       16,       44,        b
       6,       26,        2,        b
      12,       30,       14,        b
      -2,       34,       12,        b
       4,       28,        6,        b
      -8,       46,       -2,        b
     -10,       50,       18,        b
       2,       38,        2,        b
       4,       28,       30,        b
       2,        6,       32,        b
       8,        0,       22,        b
      16,       26,        4,        b
       2,        0,       26,        b
     -16,       34,       16,        b
      22,        0,       40,        b
       2,        2,       26,        b
      12,       32,       40,        b
       4,       16,       10,        b
       2,       16,       38,        b
      -6,       16,        6,        b
       8,       14,       40,        b
      18,       22,       34,        b
       0,       24,        6,        b
       4,        0,       22,        b
      -2,       40,        4,        b
